 Fields to use
 Latitude range and number of values        58.000    65.000        36
 Longitude range and number of values        2.000     8.000        31
 Contour level to plot and color          90.0
 Contour level to plot and color          50.0
 Contour level to plot and color          20.0
 Contour level to plot and color           5.0
 Contour level to plot and color           2.0
 Contour level to plot and color           1.8
 Contour level to plot and color           1.6
 Contour level to plot and color           1.4
 Contour level to plot and color           1.2
 Contour level to plot and color           1.0
 Contour level to plot and color           0.9
 Contour level to plot and color           0.8
 Contour level to plot and color           0.7
 Contour level to plot and color           0.6
 Contour level to plot and color           0.5
 Contour level to plot and color           0.4
 Contour level to plot and color           0.3
 Contour level to plot and color           0.2
 Contour level to plot and color           0.1
   2.00000000       58.0000000       13.5054846    
   2.20000005       58.0000000       13.4402027    
   2.40000010       58.0000000       13.3867531    
   2.59999990       58.0000000       13.3460035    
   2.79999995       58.0000000       13.3179178    
   3.00000000       58.0000000       13.3023195    
   3.20000005       58.0000000       13.2991352    
   3.40000010       58.0000000       13.3080988    
   3.59999990       58.0000000       13.3288469    
   3.79999995       58.0000000       13.3609428    
   4.00000000       58.0000000       13.4038811    
   4.19999981       58.0000000       13.4571142    
   4.40000010       58.0000000       13.5201178    
   4.59999990       58.0000000       13.5924149    
   4.80000019       58.0000000       13.6736622    
   5.00000000       58.0000000       13.7664099    
   5.19999981       58.0000000       13.8670702    
   5.40000010       58.0000000       13.9743786    
   5.59999990       58.0000000       14.0891066    
   5.80000019       58.0000000       14.2168598    
   6.00000000       58.0000000       14.3568535    
   6.20000029       58.0000000       14.5094748    
   6.40000010       58.0000000       14.6757812    
   6.59999990       58.0000000       14.8567486    
   6.80000019       58.0000000       15.0532484    
   7.00000000       58.0000000       15.2659349    
   7.20000029       58.0000000       15.4953175    
   7.40000010       58.0000000       15.7415590    
   7.59999990       58.0000000       16.0046692    
   7.80000019       58.0000000       16.2846546    
   8.00000000       58.0000000       16.5811749    
   2.00000000       58.2000008       13.0443258    
   2.20000005       58.2000008       12.9814177    
   2.40000010       58.2000008       12.9320774    
   2.59999990       58.2000008       12.8964376    
   2.79999995       58.2000008       12.8745146    
   3.00000000       58.2000008       12.8662319    
   3.20000005       58.2000008       12.8713865    
   3.40000010       58.2000008       12.8896475    
   3.59999990       58.2000008       12.9205360    
   3.79999995       58.2000008       12.9634466    
   4.00000000       58.2000008       13.0256920    
   4.19999981       58.2000008       13.1063118    
   4.40000010       58.2000008       13.1938992    
   4.59999990       58.2000008       13.2872820    
   4.80000019       58.2000008       13.3854713    
   5.00000000       58.2000008       13.4878187    
   5.19999981       58.2000008       13.5941620    
   5.40000010       58.2000008       13.7049255    
   5.59999990       58.2000008       13.8211365    
   5.80000019       58.2000008       13.9443293    
   6.00000000       58.2000008       14.0764122    
   6.20000029       58.2000008       14.2194424    
   6.40000010       58.2000008       14.3754644    
   6.59999990       58.2000008       14.5473289    
   6.80000019       58.2000008       14.7481766    
   7.00000000       58.2000008       14.9666309    
   7.20000029       58.2000008       15.2033558    
   7.40000010       58.2000008       15.4587250    
   7.59999990       58.2000008       15.7328529    
   7.80000019       58.2000008       16.0256042    
   8.00000000       58.2000008       16.3366146    
